train_acc,train_loss
0.125,2.4868147373199463
0.626953125,1.1734849214553833
0.65625,0.832464873790741
0.77734375,0.7405381202697754
0.81640625,0.6560924053192139
0.759765625,0.6748839616775513
0.828125,0.5840919017791748
0.83984375,0.5323882699012756
0.822265625,0.5655045509338379
0.8671875,0.5134980082511902
0.87109375,0.4749882221221924
0.87890625,0.4970501959323883
0.869140625,0.4724285900592804
0.8828125,0.47274041175842285
0.904296875,0.43008124828338623
0.892578125,0.4328639507293701
0.89453125,0.4365386962890625
0.904296875,0.42997777462005615
0.91796875,0.4129546284675598
0.8984375,0.38839688897132874
0.90625,0.38921383023262024
0.892578125,0.42761701345443726
0.923828125,0.3782453238964081
0.923828125,0.3747953176498413
0.916015625,0.38522326946258545
0.90625,0.39259207248687744
0.919921875,0.40675145387649536
0.8828125,0.39307472109794617
0.92578125,0.37662744522094727
0.931640625,0.38040459156036377
